cntry,nuts1,ESS11_reg
AT,AT1,AT11
AT,AT1,AT12
AT,AT1,AT13
AT,AT2,AT21
AT,AT2,AT22
AT,AT3,AT31
AT,AT3,AT32
AT,AT3,AT33
AT,AT3,AT34
AT,ATZ,ATZZ
BE,BE1,BE10
BE,BE2,BE21
BE,BE2,BE22
BE,BE2,BE23
BE,BE2,BE24
BE,BE2,BE25
BE,BE3,BE31
BE,BE3,BE32
BE,BE3,BE33
BE,BE3,BE34
BE,BE3,BE35
BE,BEZ,BEZZ
BG,BG3,BG311
BG,BG3,BG312
BG,BG3,BG313
BG,BG3,BG314
BG,BG3,BG315
BG,BG3,BG321
BG,BG3,BG322
BG,BG3,BG323
BG,BG3,BG324
BG,BG3,BG325
BG,BG3,BG331
BG,BG3,BG332
BG,BG3,BG333
BG,BG3,BG334
BG,BG3,BG341
BG,BG3,BG342
BG,BG3,BG343
BG,BG3,BG344
BG,BG4,BG411
BG,BG4,BG412
BG,BG4,BG413
BG,BG4,BG414
BG,BG4,BG415
BG,BG4,BG421
BG,BG4,BG422
BG,BG4,BG423
BG,BG4,BG424
BG,BG4,BG425
CH,CH0,CH01
CH,CH0,CH02
CH,CH0,CH03
CH,CH0,CH04
CH,CH0,CH05
CH,CH0,CH06
CH,CH0,CH07
CY,CY0,CY0
DE,DE1,DE1
DE,DE2,DE2
DE,DE3,DE3
DE,DE4,DE4
DE,DE5,DE5
DE,DE6,DE6
DE,DE7,DE7
DE,DE8,DE8
DE,DE9,DE9
DE,DEA,DEA
DE,DEB,DEB
DE,DEC,DEC
DE,DED,DED
DE,DEE,DEE
DE,DEF,DEF
DE,DEG,DEG
GR,EL3,EL30
GR,EL4,EL41
GR,EL4,EL42
GR,EL4,EL43
GR,EL5,EL51
GR,EL5,EL52
GR,EL5,EL53
GR,EL5,EL54
GR,EL6,EL61
GR,EL6,EL62
GR,EL6,EL63
GR,EL6,EL64
GR,EL6,EL65
ES,ES1,ES11
ES,ES1,ES12
ES,ES1,ES13
ES,ES2,ES21
ES,ES2,ES22
ES,ES2,ES23
ES,ES2,ES24
ES,ES3,ES30
ES,ES4,ES41
ES,ES4,ES42
ES,ES4,ES43
ES,ES5,ES51
ES,ES5,ES52
ES,ES5,ES53
ES,ES6,ES61
ES,ES6,ES62
ES,ES6,ES63
ES,ES6,ES64
ES,ES7,ES70
ES,ESZ,ESZZ
FI,FI1,FI196
FI,FI1,FI198
FI,FI1,FI199
FI,FI1,FI19A
FI,FI1,FI19B
FI,FI1,FI1B1
FI,FI1,FI1C1
FI,FI1,FI1C2
FI,FI1,FI1C5
FI,FI1,FI1C6
FI,FI1,FI1C7
FI,FI1,FI1D5
FI,FI1,FI1D7
FI,FI1,FI1D8
FI,FI1,FI1D9
FI,FI1,FI1DA
FI,FI1,FI1DB
FI,FI1,FI1DC
FI,FI2,FI200
FI,FIZ,FIZZZ
FR,FR1,FR10
FR,FRB,FRB0
FR,FRC,FRC1
FR,FRC,FRC2
FR,FRD,FRD1
FR,FRD,FRD2
FR,FRE,FRE1
FR,FRE,FRE2
FR,FRF,FRF1
FR,FRF,FRF2
FR,FRF,FRF3
FR,FRG,FRG0
FR,FRH,FRH0
FR,FRI,FRI1
FR,FRI,FRI2
FR,FRI,FRI3
FR,FRJ,FRJ1
FR,FRJ,FRJ2
FR,FRK,FRK1
FR,FRK,FRK2
FR,FRL,FRL0
FR,FRM,FRM0
FR,FRY,FRY1
FR,FRY,FRY2
FR,FRY,FRY3
FR,FRY,FRY4
FR,FRY,FRY5
FR,FRZ,FRZZ
HR,HR0,HR021
HR,HR0,HR022
HR,HR0,HR023
HR,HR0,HR024
HR,HR0,HR025
HR,HR0,HR026
HR,HR0,HR027
HR,HR0,HR028
HR,HR0,HR031
HR,HR0,HR032
HR,HR0,HR033
HR,HR0,HR034
HR,HR0,HR035
HR,HR0,HR036
HR,HR0,HR037
HR,HR0,HR050
HR,HR0,HR061
HR,HR0,HR062
HR,HR0,HR063
HR,HR0,HR064
HR,HR0,HR065
HU,HU1,HU110
HU,HU1,HU120
HU,HU2,HU211
HU,HU2,HU212
HU,HU2,HU213
HU,HU2,HU221
HU,HU2,HU222
HU,HU2,HU223
HU,HU2,HU231
HU,HU2,HU232
HU,HU2,HU233
HU,HU3,HU311
HU,HU3,HU312
HU,HU3,HU313
HU,HU3,HU321
HU,HU3,HU322
HU,HU3,HU323
HU,HU3,HU331
HU,HU3,HU332
HU,HU3,HU333
HU,HUZ,HUZZZ
IE,IE0,IE041
IE,IE0,IE042
IE,IE0,IE051
IE,IE0,IE052
IE,IE0,IE053
IE,IE0,IE061
IE,IE0,IE062
IE,IE0,IE063
IL,,IL
IS,IS0,IS002
IT,ITC,ITC
IT,ITF,ITF
IT,ITG,ITG
IT,ITH,ITH
IT,ITI,ITI
IT,ITZ,ITZ
LT,LT0,LT011
LT,LT0,LT021
LT,LT0,LT022
LT,LT0,LT023
LT,LT0,LT024
LT,LT0,LT025
LT,LT0,LT026
LT,LT0,LT027
LT,LT0,LT028
LT,LT0,LT029
LV,LV0,LV005
LV,LV0,LV009
LV,LV0,LV00A
LV,LV0,LV00B
LV,LV0,LV00C
LV,LVZ,LVZZZ
ME,ME0,ME0
NL,NL1,NL11
NL,NL1,NL12
NL,NL1,NL13
NL,NL2,NL21
NL,NL2,NL22
NL,NL2,NL23
NL,NL3,NL32
NL,NL3,NL34
NL,NL3,NL35
NL,NL3,NL36
NL,NL4,NL41
NL,NL4,NL42
NL,NLZ,NLZZ
NO,NO0,NO02
NO,NO0,NO06
NO,NO0,NO07
NO,NO0,NO08
NO,NO0,NO09
NO,NO0,NO0A
NO,NO0,NO0B
NO,NOZ,NOZZ
PL,PL2,PL21
PL,PL2,PL22
PL,PL4,PL41
PL,PL4,PL42
PL,PL4,PL43
PL,PL5,PL51
PL,PL5,PL52
PL,PL6,PL61
PL,PL6,PL62
PL,PL6,PL63
PL,PL7,PL71
PL,PL7,PL72
PL,PL8,PL81
PL,PL8,PL82
PL,PL8,PL84
PL,PL9,PL91
PL,PL9,PL92
PT,PT1,PT11
PT,PT1,PT15
PT,PT1,PT19
PT,PT1,PT1A
PT,PT1,PT1B
PT,PT1,PT1C
PT,PT1,PT1D
PT,PT2,PT20
PT,PT3,PT30
PT,PTZ,PTZZ
RS,RS1,RS11
RS,RS1,RS12
RS,RS2,RS21
RS,RS2,RS22
RS,RSZ,RSZZ
SE,SE1,SE11
SE,SE1,SE12
SE,SE2,SE21
SE,SE2,SE22
SE,SE2,SE23
SE,SE3,SE31
SE,SE3,SE32
SE,SE3,SE33
SE,SEZ,SEZZ
SI,SI0,SI031
SI,SI0,SI032
SI,SI0,SI033
SI,SI0,SI034
SI,SI0,SI035
SI,SI0,SI036
SI,SI0,SI037
SI,SI0,SI038
SI,SI0,SI041
SI,SI0,SI042
SI,SI0,SI043
SI,SI0,SI044
SK,SK0,SK010
SK,SK0,SK021
SK,SK0,SK022
SK,SK0,SK023
SK,SK0,SK031
SK,SK0,SK032
SK,SK0,SK041
SK,SK0,SK042
GB,UKC,UKC
GB,UKD,UKD
GB,UKE,UKE
GB,UKF,UKF
GB,UKG,UKG
GB,UKH,UKH
GB,UKI,UKI
GB,UKJ,UKJ
GB,UKK,UKK
GB,UKL,UKL
GB,UKM,UKM
GB,UKN,UKN
